,Address,Bath,Bed,Price,Property Type,sf
19,111-33546 Holland Avenue,2,2,"$389,700",Apt/Condo,933
20,116-2414 Church Street,1,1,"$248,500",Apt/Condo,743
21,35465 Nakiska Court,3,5,"$929,800",House,2670
22,68-31032 Westridge Place,2,2,"$509,900",Townhouse,1224
23,7-32138 George Ferguson Way,3,2,"$504,700",Townhouse,1208
24,2425 Mountain Drive,3,3,"$749,500",House,2017
25,33969 Victory Boulevard,1,4,"$755,000",House,1592
26,1773 Fairview Street,2,4,"$818,500",House,2268
27,57-36060 Old Yale Road,3,3,"$544,900",Townhouse,1430
28,33921 Elm Street,2,5,"$838,000",House,2627
29,2728 Clearbrook Road,1,5,"$558,800",House,1418
30,32019 Noble Avenue,1,3,"$598,800",House,2164
31,3-33922 King Road,3,3,"$574,700",Townhouse,2454
32,213-30525 Cardinal Avenue,2,2,"$349,000",Apt/Condo,874
33,307-33898 Pine Street,2,2,"$374,900",Apt/Condo,904
34,25-32250 Downes Road,2,3,"$829,500",House,1655
35,2444 Lilac Crescent,4,8,"$1,299,980",Duplex,4696
36,329-32850 George Ferguson Way,1,2,"$290,900",Apt/Condo,916
37,2626 Mitchell Street,3,4,"$839,900",House,1939
38,307-2279 Mccallum Road,1,2,"$279,700",Apt/Condo,972
39,36284 Country Place,3,6,"$839,900",House,2674
40,401-2964 Trethewey Street,2,2,"$385,000",Apt/Condo,1156
41,33667 Grace Avenue,2,3,"$599,000",House,1500
42,12-2048 Mccallum Road,2,2,"$335,000",Townhouse,990
43,205-2410 Emerson Street,2,2,"$299,000",Apt/Condo,1099
44,3583 Mckinley Drive,3,5,"$999,000",House,3233
45,34109 George Ferguson Way,5,5,"$929,900",House,2756
46,34110 Larch Street,5,5,"$949,900",House,2756
47,2574 Sunnyside Crescent,2,4,"$1,099,000",House,2700
48,28-3115 Trafalgar Street,3,3,"$549,700",Townhouse,2634
49,2705 Eagle Peak Drive,6,6,"$1,698,800",House,4766
50,2697 Aquila Drive,5,4,"$1,198,800",House,3585
51,2567 Eagle Mountain Drive,4,4,"$1,158,800",House,3088
52,105-2750 Fairlane Street,2,2,"$359,900",Apt/Condo,1061
53,30559 Northridge Way,4,6,"$1,098,800",House,3071
54,3505 Cariboo Court,3,4,"$749,000",House,2320
55,316-32085 George Ferguson Way,2,2,"$344,900",Apt/Condo,1005
56,407-3172 Gladwin Road,2,2,"$360,000",Apt/Condo,1131
57,355 Mccallum Road,2,3,"$1,125,000",House,3060
58,411-33280 E Bourquin Crescent,0,2,"$320,000",Apt/Condo,1104
59,103-32725 George Ferguson Way,2,2,"$314,800",Apt/Condo,898
60,304-2684 Mccallum Road,1,1,"$239,000",Apt/Condo,721
61,2480 Mendham Street,3,4,"$684,700",House,2014
62,2111 Whatcom Road,3,4,"$874,700",House,2200
63,3791 Mckinley Drive,3,5,"$1,089,900",House,2983
64,301-2238 Whatcom Road,1,1,"$369,900",Apt/Condo,771
65,31146 Sidoni Avenue,4,4,"$749,000",House,2686
66,34788 Marshall Road,3,5,"$949,000",House,3132
67,35465 Nakiska Court,3,5,"$929,800",House,2670
68,209-33960 Old Yale Road,2,2,"$324,900",Apt/Condo,834
69,417-33960 Old Yale Road,1,1,"$284,900",Apt/Condo,712
70,25-36169 Lower Sumas Mountain Road,3,3,"$639,900",House,1714
71,2293 Merlot Boulevard,3,4,"$1,000,000",House,3256
72,2410 Campbell Avenue,0,0,"$359,900",Land/Lot,0
73,2087 Emerson Street,3,5,"$734,800",House,2800
74,3791 Mckinley Drive,3,5,"$1,089,900",House,2983
75,3694 Dunsmuir Way,3,4,"$689,000",House,2150
76,2515 Cameron Crescent,1,4,"$655,000",House,1504
77,3633 Burnside Drive,3,4,"$724,900",House,2754
78,211-31955 Old Yale Road,1,2,"$240,000",Apt/Condo,1092
79,22-34121 George Ferguson Way,3,3,"$779,900",House,2398
80,18-34121 George Ferguson Way,3,3,"$779,900",House,2398
81,19-34121 George Ferguson Way,3,3,"$779,900",House,2398
82,27906 Maclure Road,6,8,"$1,129,000",House,4332
83,406-33553 Marshall Road,3,2,"$529,900",Apt/Condo,1098
84,2087 Emerson Street,3,5,"$734,800",House,2800
85,6184 Mt Lehman Road,3,5,"$1,775,000",House,3128
86,34062 Mccrimmon Drive,3,3,"$598,888",House,1550
87,105-33553 Marshall Road,2,1,"$399,900",Apt/Condo,761
88,405-33538 Marshall Road,1,1,"$313,000",Apt/Condo,677
89,343-1909 Salton Road,1,2,"$263,000",Apt/Condo,885
90,311-33401 Mayfair Avenue,2,2,"$339,000",Apt/Condo,1023
91,34840 Gleneagles Place,4,4,"$857,700",House,3119
92,31382 Windsor Court,2,3,"$724,900",House,1900
93,35902 Emily Carr Crescent,6,6,"$1,199,000",House,4074
94,3553 Trethewey Street,4,5,"$819,000",House,2810
95,310-1975 Mccallum Road,1,1,"$292,800",Apt/Condo,673
96,3786 Nanaimo Crescent,4,4,"$779,900",House,2773
97,307-2964 Trethewey Street,2,2,"$317,999",Apt/Condo,921
98,3135 Elgon Court,4,3,"$829,900",House,2400
99,35802 Eaglecrest Drive,3,4,"$889,000",House,2879
