,Address,Bath,Bed,Price,Property Type,sf
197,3965 Caves Court,5,5,"$1,199,500",R2283738,4101
198,31389 Windsor Court,5,5,"$736,980",R2283510,2153
199,32773 Cowichan Terrace,3,4,"$950,000",R2283617,2148
200,35-4295 Old Clayburn Road,4,3,"$735,900",R2283573,2181
201,184-3160 Townline Road,3,4,"$559,000",R2283773,1880
202,137-30930 Westridge Place,3,3,"$559,900",R2283682,1367
203,13-3902 Latimer Street,3,4,"$599,999",R2283579,1882
204,217-3176 Gladwin Road,2,2,"$449,700",R2283567,1341
205,327-32850 George Ferguson Way,1,2,"$259,000",R2283616,914
206,3049 Tims Street,3,5,"$789,700",R2283372,2500
207,1-5975 Riverside Street,0,0,"$680,000",R2282910,0
208,3-5975 Riverside Street,0,0,"$580,000",R2282911,0
209,2-5975 Riverside Street,0,0,"$640,000",R2282914,0
210,36004 Empress Lane,5,5,"$1,298,800",House,4616
211,44-34248 King Road,3,2,"$515,000",R2283603,1281
212,101-33538 Marshall Road,1,1,"$279,000",R2283025,555
213,109-32445 Simon Avenue,1,1,"$324,900",R2283129,743
214,89-32633 Simon Avenue,3,2,"$498,700",R2283426,1160
215,34699 Delair Road,3,4,"$899,000",R2283403,2858
216,118-2533 Marcet Court,3,3,"$489,900",R2282385,1446
217,626-34909 Old Yale Road,2,2,"$319,900",R2283368,928
218,79-32718 Garibaldi Drive,2,1,"$345,678",R2283257,1145
219,4-36130 Waterleaf Place,3,3,"$709,000",R2283333,1810
220,337-2451 Gladwin Road,2,2,"$339,500",R2283247,1245
221,9-36130 Waterleaf Place,3,3,"$659,000",R2283337,1477
222,35411 Eagle Summit Drive,4,6,"$1,294,900",R2283231,3821
223,404-32445 Simon Avenue,1,1,"$399,900",R2282760,962
224,409-2700 Mccallum Road,1,2,"$319,900",R2283114,902
225,31831 Coral Avenue,3,4,"$879,999",R2282880,2430
226,138-30930 Westridge Place,3,3,"$539,900",R2282967,1265
227,111-30930 Westridge Place,3,2,"$499,900",R2282961,1265
228,102-30930 Westridge Place,3,3,"$599,900",R2282957,1561
229,36004 Empress Lane,5,5,"$1,298,800",R2283004,4616
230,2065 Mckenzie Road,1,2,"$648,000",R2222767,795
231,3791 Mckinley Drive,3,5,"$1,089,900",House,2983
232,206-2567 Victoria Street,2,2,"$299,000",R2282715,1025
233,179-32550 Maclure Road,2,3,"$442,000",R2281448,1128
234,109-2700 Mccallum Road,1,2,"$319,000",R2282888,903
235,32208 Peardonville Road,2,5,"$949,000",R2282522,2554
236,33409 King Road,0,0,"$1,449,000",R2280283,0
237,52-33922 King Road,3,3,"$547,500",R2282865,2474
238,28218 Layman Avenue,2,3,"$1,990,000",R2282579,2346
239,619 Marion Road,3,6,"$2,089,600",R2282931,2760
240,301-33401 Mayfair Avenue,2,2,"$289,900",R2282486,1255
241,11-33179 George Ferguson Way,3,4,"$579,900",R2282721,2751
242,60-32959 George Ferguson Way,1,2,"$264,900",R2282483,1013
243,12-33922 King Road,3,3,"$549,900",R2282388,2474
244,107-32119 Old Yale Road,1,2,"$239,900",R2282801,892
245,410-33480 George Ferguson Way,2,2,"$362,900",R2282794,1021
246,209-2750 Fuller Street,2,2,"$289,000",R2282532,1053
247,32997 Aspen Avenue,4,4,"$824,900",R2282093,3323
248,28857 Downes Street,2,4,"$2,500,000",R2281931,2555
249,2268 Clearbrook Road,3,4,"$699,000",R2282124,1830
250,10-4401 Blauson Boulevard,2,3,"$499,900",R2282135,1224
251,4216 Old Clayburn Road,3,5,"$799,900",R2282395,2493
252,35465 Nakiska Court,3,5,"$929,800",House,2670
253,30634 Crestview Avenue,3,5,"$879,900",R2282256,2388
254,417-33280 E Bourquin Crescent,2,2,"$324,900",R2282707,1012
255,18-4295 Old Clayburn Road,6,8,"$1,095,000",R2282475,4285
256,12-36060 Old Yale Road,3,3,"$539,900",R2282477,1434
257,4302 Pioneer Court,3,3,"$799,900",R2282537,2187
258,32866 Capilano Place,3,4,"$729,900",R2282372,2714
259,36569 Dawson Road,2,4,"$1,350,000",R2282272,2621
260,211-32833 Landeau Place,2,2,"$286,900",R2281821,1096
261,34840 Orchard Drive,3,4,"$968,000",R2282312,3895
262,17-4295 Old Clayburn Road,4,6,"$999,000",R2281719,3958
263,32314 Peardonville Road,2,5,"$1,099,000",R2279396,2640
264,202-33839 Marshall Road,2,2,"$349,000",R2282084,950
265,1503-3190 Gladwin Road,2,2,"$542,800",R2281442,1160
266,102-30989 Westridge Place,3,3,"$519,800",R2281656,1398
267,204-33731 Marshall Road,2,2,"$399,000",R2281684,1240
268,2469 Crescent Way,1,1,"$594,500",R2281637,855
269,111-2780 Ware Street,1,1,"$249,000",R2282050,705
270,35527 Eagle Summit Drive,5,5,"$1,388,000",R2280510,3756
271,210-33718 King Road,2,2,"$369,900",R2282074,924
272,110-2581 Langdon Street,2,2,"$335,000",R2282343,950
273,3791 Mckinley Drive,3,5,"$1,089,900",House,2983
274,15-4401 Blauson Boulevard,2,3,"$499,900",R2282249,1303
275,102-2567 Victoria Street,1,2,"$299,700",R2282229,861
276,35191 Christina Place,4,6,"$915,000",R2281393,3784
277,301-2955 Diamond Crescent,2,2,"$369,900",R2282144,990
278,302-1755 Salton Road,1,2,"$299,000",R2282011,947
279,35040 Laburnum Avenue,3,5,"$749,900",R2282091,2636
280,30676 W Osprey Drive,3,4,"$799,000",R2282013,2720
281,34757 Millstone Way,3,4,"$959,000",R2281976,3384
282,5-33915 Mayfair Avenue,2,3,"$410,000",R2281819,1620
283,216-33318 E Bourquin Crescent,2,2,"$464,700",R2281795,1226
